t,q1,q2,q3,q4,q5,q6
0.0,0.019942182584270718,-0.2348335846975651,0.15562719559749105,0.018407936518046064,-0.012271634025064593,-0.006903192902244726
0.005092620849609375,0.019942182584270718,-0.2348335846975651,0.15562719559749105,0.018407936518046064,-0.012271634025064593,-0.006903192902244726
0.009985685348510742,0.019942182584270718,-0.2348335846975651,0.1556233605870041,0.018407936518046064,-0.011504643631122136,-0.006903192902244726
0.014891386032104492,0.019942182584270718,-0.2348335846975651,0.1556156905660293,0.018407936518046064,-0.01073765323717879,-0.006903192902244726
0.01999187469482422,0.019942182584270718,-0.2348335846975651,0.1556156905660293,0.018407936518046064,-0.01073765323717879,-0.006903192902244726
0.024871349334716797,0.019942182584270718,-0.2348335846975651,0.1556156905660293,0.018407936518046064,-0.009970662843236333,-0.006903192902244726
0.030001163482666016,0.019942182584270718,-0.2348335846975651,0.1556156905660293,0.018407936518046064,-0.009970662843236333,-0.006903192902244726
0.03497648239135742,0.019942182584270718,-0.2348335846975651,0.1556156905660293,0.018407936518046064,-0.009970662843236333,-0.006903192902244726
0.03997325897216797,0.019942182584270718,-0.2348335846975651,0.1556156905660293,0.018407936518046064,-0.009970662843236333,-0.006903192902244726
0.04498434066772461,0.019942182584270718,-0.2348335846975651,0.1556156905660293,0.018407936518046064,-0.009203672449292988,-0.006903192902244726
0.050006866455078125,0.019942182584270718,-0.2348335846975651,0.1556156905660293,0.018407936518046064,-0.009203672449292988,-0.006903192902244726
0.05498075485229492,0.019942182584270718,-0.2348335846975651,0.1556156905660293,0.018407936518046064,-0.00843668205535053,-0.006903192902244726
0.05988168716430664,0.019942182584270718,-0.23483741970805205,0.1556156905660293,0.018407936518046064,-0.00843668205535053,-0.006903192902244726
0.06498980522155762,0.019942182584270718,-0.23483741970805205,0.1556156905660293,0.018407936518046064,-0.00843668205535053,-0.006903192902244726
0.06999015808105469,0.019942182584270718,-0.23483741970805205,0.1556118555555419,0.018407936518046064,-0.00843668205535053,-0.006903192902244726
0.07494878768920898,0.019942182584270718,-0.23483741970805205,0.1556118555555419,0.018407936518046064,-0.00843668205535053,-0.006903192902244726
0.07997560501098633,0.019942182584270718,-0.23483741970805205,0.15558884549261798,0.018407936518046064,-0.007669691661407185,-0.006903192902244726
0.08494949340820312,0.019942182584270718,-0.23483741970805205,0.15558884549261798,0.018407936518046064,-0.007669691661407185,-0.006903192902244726
